,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,season
24,2010,1,2,0,129.0,-16,-4.0,1020.0,SE,1.79,0,0,Winter
25,2010,1,2,1,148.0,-15,-4.0,1020.0,SE,2.68,0,0,Winter
26,2010,1,2,2,159.0,-11,-5.0,1021.0,SE,3.57,0,0,Winter
27,2010,1,2,3,181.0,-7,-5.0,1022.0,SE,5.36,1,0,Winter
28,2010,1,2,4,138.0,-7,-5.0,1022.0,SE,6.25,2,0,Winter
29,2010,1,2,5,109.0,-7,-6.0,1022.0,SE,7.14,3,0,Winter
30,2010,1,2,6,105.0,-7,-6.0,1023.0,SE,8.93,4,0,Winter
31,2010,1,2,7,124.0,-7,-5.0,1024.0,SE,10.72,0,0,Winter
32,2010,1,2,8,120.0,-8,-6.0,1024.0,SE,12.51,0,0,Winter
33,2010,1,2,9,132.0,-7,-5.0,1025.0,SE,14.3,0,0,Winter
34,2010,1,2,10,140.0,-7,-5.0,1026.0,SE,17.43,1,0,Winter
35,2010,1,2,11,152.0,-8,-5.0,1026.0,SE,20.56,0,0,Winter
36,2010,1,2,12,148.0,-8,-5.0,1026.0,SE,23.69,0,0,Winter
37,2010,1,2,13,164.0,-8,-5.0,1025.0,SE,27.71,0,0,Winter
38,2010,1,2,14,158.0,-9,-5.0,1025.0,SE,31.73,0,0,Winter
39,2010,1,2,15,154.0,-9,-5.0,1025.0,SE,35.75,0,0,Winter
40,2010,1,2,16,159.0,-9,-5.0,1026.0,SE,37.54,0,0,Winter
41,2010,1,2,17,164.0,-8,-5.0,1027.0,SE,39.33,0,0,Winter
42,2010,1,2,18,170.0,-8,-5.0,1027.0,SE,42.46,0,0,Winter
43,2010,1,2,19,149.0,-8,-5.0,1028.0,SE,44.25,0,0,Winter
44,2010,1,2,20,154.0,-7,-5.0,1028.0,SE,46.04,0,0,Winter
45,2010,1,2,21,164.0,-7,-5.0,1027.0,SE,49.17,1,0,Winter
46,2010,1,2,22,156.0,-8,-6.0,1028.0,SE,52.3,2,0,Winter
47,2010,1,2,23,126.0,-8,-6.0,1027.0,SE,55.43,3,0,Winter
48,2010,1,3,0,90.0,-7,-6.0,1027.0,SE,58.56,4,0,Winter
49,2010,1,3,1,63.0,-8,-6.0,1026.0,SE,61.69,5,0,Winter
50,2010,1,3,2,65.0,-8,-7.0,1026.0,SE,65.71,6,0,Winter
51,2010,1,3,3,55.0,-8,-7.0,1025.0,SE,68.84,7,0,Winter
52,2010,1,3,4,65.0,-8,-7.0,1024.0,SE,72.86,8,0,Winter
53,2010,1,3,5,83.0,-9,-8.0,1024.0,SE,76.88,9,0,Winter
54,2010,1,3,6,91.0,-10,-8.0,1024.0,SE,80.9,10,0,Winter
55,2010,1,3,7,86.0,-10,-9.0,1024.0,SE,84.92,11,0,Winter
56,2010,1,3,8,82.0,-10,-9.0,1024.0,SE,89.84,12,0,Winter
57,2010,1,3,9,86.0,-11,-9.0,1023.0,SE,93.86,13,0,Winter
58,2010,1,3,10,78.0,-11,-9.0,1023.0,SE,97.88,15,0,Winter
59,2010,1,3,11,98.0,-11,-9.0,1022.0,SE,102.8,16,0,Winter
60,2010,1,3,12,107.0,-11,-9.0,1021.0,SE,105.93,17,0,Winter
61,2010,1,3,13,90.0,-11,-9.0,1020.0,SE,111.74,19,0,Winter
62,2010,1,3,14,96.0,-11,-9.0,1020.0,SE,116.66,20,0,Winter
63,2010,1,3,15,95.0,-11,-9.0,1020.0,SE,121.58,21,0,Winter
64,2010,1,3,16,86.0,-11,-9.0,1020.0,SE,124.71,22,0,Winter
65,2010,1,3,17,70.0,-11,-9.0,1020.0,SE,127.84,23,0,Winter
66,2010,1,3,18,61.0,-11,-9.0,1021.0,cv,0.89,24,0,Winter
67,2010,1,3,19,53.0,-11,-9.0,1022.0,cv,1.78,25,0,Winter
68,2010,1,3,20,71.0,-10,-9.0,1022.0,NW,4.02,26,0,Winter
69,2010,1,3,21,72.0,-11,-10.0,1023.0,NW,7.15,27,0,Winter
70,2010,1,3,22,76.0,-11,-9.0,1023.0,NW,11.17,0,0,Winter
71,2010,1,3,23,73.0,-12,-11.0,1023.0,NW,14.3,0,0,Winter
72,2010,1,4,0,79.0,-14,-12.0,1023.0,NW,16.09,0,0,Winter
73,2010,1,4,1,58.0,-16,-9.0,1023.0,NW,21.9,0,0,Winter
74,2010,1,4,2,25.0,-17,-10.0,1024.0,NW,29.95,0,0,Winter
75,2010,1,4,3,26.0,-18,-11.0,1024.0,NW,39.78,0,0,Winter
76,2010,1,4,4,28.0,-19,-11.0,1025.0,NW,48.72,0,0,Winter
77,2010,1,4,5,26.0,-20,-12.0,1026.0,NW,55.87,0,0,Winter
78,2010,1,4,6,20.0,-21,-12.0,1027.0,NW,64.81,0,0,Winter
79,2010,1,4,7,29.0,-21,-13.0,1027.0,NW,73.75,0,0,Winter
80,2010,1,4,8,26.0,-22,-13.0,1028.0,NW,80.9,0,0,Winter
81,2010,1,4,9,27.0,-22,-13.0,1029.0,NW,90.73,0,0,Winter
82,2010,1,4,10,27.0,-22,-12.0,1030.0,NW,100.56,0,0,Winter
83,2010,1,4,11,25.0,-23,-12.0,1031.0,NW,108.61,0,0,Winter
84,2010,1,4,12,29.0,-21,-11.0,1030.0,NW,117.55,0,0,Winter
85,2010,1,4,13,32.0,-20,-10.0,1030.0,NW,127.38,0,0,Winter
86,2010,1,4,14,28.0,-21,-10.0,1030.0,NW,136.32,0,0,Winter
87,2010,1,4,15,29.0,-21,-9.0,1030.0,NW,145.26,0,0,Winter
88,2010,1,4,16,30.0,-21,-9.0,1031.0,NW,152.41,0,0,Winter
89,2010,1,4,17,30.0,-20,-11.0,1032.0,NW,159.56,0,0,Winter
90,2010,1,4,18,28.0,-23,-11.0,1032.0,NW,165.37,0,0,Winter
91,2010,1,4,19,26.0,-21,-12.0,1033.0,NW,171.18,0,0,Winter
92,2010,1,4,20,31.0,-24,-12.0,1034.0,NW,180.12,0,0,Winter
93,2010,1,4,21,33.0,-24,-13.0,1034.0,NW,187.27,0,0,Winter
94,2010,1,4,22,29.0,-24,-13.0,1035.0,NW,195.32,0,0,Winter
95,2010,1,4,23,31.0,-26,-15.0,1035.0,NW,198.45,0,0,Winter
96,2010,1,5,0,30.0,-26,-17.0,1035.0,NW,201.58,0,0,Winter
97,2010,1,5,1,34.0,-26,-18.0,1035.0,NW,205.6,0,0,Winter
98,2010,1,5,2,27.0,-26,-19.0,1035.0,NW,208.73,0,0,Winter
99,2010,1,5,3,25.0,-27,-18.0,1035.0,NW,213.65,0,0,Winter
100,2010,1,5,4,28.0,-27,-19.0,1035.0,NW,218.57,0,0,Winter
101,2010,1,5,5,28.0,-27,-16.0,1034.0,NE,4.92,0,0,Winter
102,2010,1,5,6,27.0,-26,-16.0,1035.0,NE,8.05,0,0,Winter
103,2010,1,5,7,27.0,-27,-16.0,1034.0,NE,13.86,0,0,Winter
104,2010,1,5,8,27.0,-26,-16.0,1035.0,NE,18.78,0,0,Winter
105,2010,1,5,9,29.0,-26,-15.0,1035.0,NE,24.59,0,0,Winter
106,2010,1,5,10,36.0,-25,-14.0,1035.0,NE,29.51,0,0,Winter
107,2010,1,5,11,30.0,-25,-13.0,1035.0,NE,34.43,0,0,Winter
108,2010,1,5,12,27.0,-25,-12.0,1034.0,NE,39.35,0,0,Winter
109,2010,1,5,13,39.0,-24,-11.0,1032.0,NE,41.14,0,0,Winter
110,2010,1,5,14,41.0,-22,-11.0,1032.0,cv,0.89,0,0,Winter
111,2010,1,5,15,33.0,-23,-11.0,1031.0,NW,1.79,0,0,Winter
112,2010,1,5,16,50.0,-24,-11.0,1031.0,NW,3.58,0,0,Winter
113,2010,1,5,17,56.0,-23,-11.0,1031.0,NW,5.37,0,0,Winter
114,2010,1,5,18,59.0,-23,-11.0,1032.0,NW,7.16,0,0,Winter
115,2010,1,5,19,60.0,-22,-13.0,1033.0,NW,10.29,0,0,Winter
116,2010,1,5,20,84.0,-22,-12.0,1033.0,NW,13.42,0,0,Winter
117,2010,1,5,21,106.0,-24,-18.0,1033.0,NW,16.55,0,0,Winter
118,2010,1,5,22,66.0,-22,-13.0,1034.0,NW,20.57,0,0,Winter
119,2010,1,5,23,50.0,-22,-16.0,1033.0,NW,23.7,0,0,Winter
120,2010,1,6,0,56.0,-25,-17.0,1033.0,NW,26.83,0,0,Winter
121,2010,1,6,1,77.0,-25,-14.0,1033.0,NE,4.02,0,0,Winter
122,2010,1,6,2,50.0,-26,-14.0,1034.0,NE,8.04,0,0,Winter
123,2010,1,6,3,44.0,-26,-14.0,1033.0,NE,13.85,0,0,Winter
124,2010,1,6,4,27.0,-26,-14.0,1033.0,NE,17.87,0,0,Winter
125,2010,1,6,5,28.0,-26,-14.0,1033.0,NE,23.68,0,0,Winter
126,2010,1,6,6,21.0,-26,-14.0,1033.0,NE,28.6,0,0,Winter
127,2010,1,6,7,25.0,-26,-15.0,1034.0,NE,33.52,0,0,Winter
128,2010,1,6,8,20.0,-26,-14.0,1034.0,NE,39.33,0,0,Winter
129,2010,1,6,9,29.0,-25,-13.0,1035.0,NE,44.25,0,0,Winter
130,2010,1,6,10,34.0,-25,-12.0,1035.0,NE,50.06,0,0,Winter
131,2010,1,6,11,42.0,-24,-11.0,1035.0,NE,54.98,0,0,Winter
132,2010,1,6,12,28.0,-24,-10.0,1034.0,NE,59.0,0,0,Winter
133,2010,1,6,13,36.0,-22,-10.0,1033.0,NW,4.02,0,0,Winter
134,2010,1,6,14,48.0,-22,-9.0,1033.0,NW,5.81,0,0,Winter
135,2010,1,6,15,49.0,-22,-8.0,1033.0,cv,0.89,0,0,Winter
136,2010,1,6,16,52.0,-22,-8.0,1033.0,NW,1.79,0,0,Winter
137,2010,1,6,17,56.0,-21,-9.0,1033.0,NW,3.58,0,0,Winter
138,2010,1,6,18,96.0,-22,-9.0,1033.0,NW,5.37,0,0,Winter
139,2010,1,6,19,75.0,-22,-14.0,1034.0,cv,0.89,0,0,Winter
140,2010,1,6,20,105.0,-22,-12.0,1035.0,NW,1.79,0,0,Winter
